Model,Accuracy,AUC,Precision,Recall,F1,MCC,FitSeconds,PredictSeconds
Logistic Regression,0.830378824672171,0.8001371754855331,0.3593281343731254,0.6454741379310345,0.4616570327552986,0.3929579036017929,0.51,0.06
Decision Tree,0.8229723166585721,0.7990028936168206,0.34994337485843713,0.665948275862069,0.45879732739420936,0.392034431577805,0.37,0.07
kNN,0.8969159786304031,0.7632815301606175,0.5961070559610706,0.2640086206896552,0.3659447348767737,0.35039372018972464,0.23,2.84
Naive Bayes,0.8329286061194755,0.7760774240086443,0.3476190476190476,0.5506465517241379,0.4261884904086739,0.34633648505422815,0.24,0.08
Random Forest (Ensemble),0.8722680913064594,0.8115432514910443,0.45193798449612405,0.6282327586206896,0.5256988277727682,0.46238706044777667,3.21,0.31
